2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  45, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  46, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  47, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  48, val: e8
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  49, val: 5b
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4a, val: 35
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4b, val: e1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4c, val: 86
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4d, val:  5
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4e, val: 10
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  4f, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  50, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  51, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  52, val:  3
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  53, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  54, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  55, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  56, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  57, val: 3c
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  58, val: 30
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  59, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5a, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5b, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5c, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5d, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5e, val: 81
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  5f, val:  1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  60, val: 3f
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  61, val: f6
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  62, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  63, val: f6
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  64, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  65, val: 78
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  66, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  67, val: 13
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  68, val: 18
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  69, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6a, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6b, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6c, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6d, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6e, val:  8
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  6f, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  70, val: c1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  71, val: c1
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  72, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  73, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  74, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  75, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  76, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  77, val: 40
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  78, val: 3c
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  79, val:  f
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  7a, val: ff
2000-01-01 00:01:58Z    0x338c0 tIntrTask3       max pwr 0-0 0-0, vld null 0 1, corr_offset 0 0, rb_pwr_max 0, fast_det_cnt 0, at 2799 
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  7b, val:  8
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  7c, val: 4f
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  7d, val: ff
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  7e, val:  8
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  7f, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  80, val:  0
2000-01-01 00:01:58Z    0x2ea6a0        task?[225]      AD9362 reg:  81, val:  0
2000-01-01 00:01:59Z    0x338c0 tIntrTask3       max pwr 0-0 0-0, vld null 0 1, corr_offset 0 0, rb_pwr_max 0, fast_det_cnt 0, at 2815 
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  82, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  83, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  84, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  85, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  86, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  87, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  88, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  89, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  8a, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  8b, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  8c, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  8d, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  8e, val: eb
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  8f, val: fe
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  90, val: e9
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  91, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  92, val: f8
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  93, val:  4
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  94, val: fa
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  95, val:  9
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  96, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  97, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  98, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  99, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  9a, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  9b, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  9c, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  9d, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  9e, val:  f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  9f, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a0, val: 15
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a1, val: 7b
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a2, val: 7f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a3, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a4, val: f0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a5, val:  1
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a6, val:  1
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a7, val: 83
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a8, val: 5b
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  a9, val: ff
2000-01-01 00:01:59Z    0x2b6408        dataCenter      delConnectionWhichNeedDel begin
2000-01-01 00:01:59Z    0x2b6408        dataCenter      delConnectionWhichNeedDel end
2000-01-01 00:01:59Z    0x2b6408        dataCenter      Noise function Close
2000-01-01 00:01:59Z    0x2b6408        dataCenter      calculateThresh is stop
2000-01-01 00:01:59Z    0x298768        omcMain         McsOmcMain::handleSchedulerSlowTicks, It's RU board...
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  aa, val: 1d
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ab, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ac, val:  b
2000-01-01 00:01:59Z    0x338c0 tIntrTask3       max pwr 0-0 0-0, vld null 0 1, corr_offset 0 0, rb_pwr_max 0, fast_det_cnt 0, at 2831 
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ad, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ae, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  af, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b0, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b1, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b2, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b3, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b4, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b5, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b6, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b7, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b8, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  b9, val:  0
2000-01-01 00:01:59Z    0x338c0 tIntrTask3       max pwr 0-0 0-0, vld null 0 1, corr_offset 0 0, rb_pwr_max 0, fast_det_cnt 0, at 2847 
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  ba, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  bb, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  bc, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  bd, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  be, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  bf, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c0, val: 6f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c1, val: ef
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c2, val: 1f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c3, val: 1f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c4, val: 1f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg:  c5, val: 1f
